task_id,specification,functional_oracle,public_reference_rtl,bounded_temporal_contract,persistence_temporal_contract,progress_or_liveness_contract,protocol_or_ordering_contract,temporal_contract_explicit,native_temporal_assertion_scoring,formal_temporal_scoring,finite_trace_temporal_scoring,reference_trace_scoring,synthesis_contract_explicit,equivalence_contract_explicit,synthesis_scoring,post_synthesis_behavior_scoring,formal_equivalence_scoring,temporal_contract_without_property_or_formal,progress_contract_without_formal,equivalence_contract_without_formal_equivalence,synthesis_contract_without_synthesis,manual_review,evidence
cvdp_copilot_16qam_mapper_0001,cvdp_copilot_16qam_mapper_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_16qam_mapper_0006,cvdp_copilot_16qam_mapper_0006:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_32_bit_Brent_Kung_PP_adder_0001,cvdp_copilot_32_bit_Brent_Kung_PP_adder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_64b66b_decoder_0001,cvdp_copilot_64b66b_decoder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_64b66b_decoder_0011,cvdp_copilot_64b66b_decoder_0011:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …gs (`sync_error` and `decoder_error_out`). 4. Latency: - The module has a **1-cycle latency** for decoding and error checking. 5. Control Characters: - The mod…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_64b66b_encoder_0001,cvdp_copilot_64b66b_encoder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_64b66b_encoder_0005,cvdp_copilot_64b66b_encoder_0005:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_64b66b_encoder_0009,cvdp_copilot_64b66b_encoder_0009:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_64b66b_encoder_0022,cvdp_copilot_64b66b_encoder_0022:input.prompt,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,"('synthesis contract: …nchronization and **combinational logic** for encoding operations. Perform an **area optimization** by reducing the utilization of **cells** and **wires** while maintaining the…', 'equivalence contract: …ning the original functionality. Ensure that: - The optimized design retains **functional equivalence** with the original module. - All encoding conditions and control logic must…', 'synthesis scoring: …- Simulate # ---------------------------------------- def synth(): cmd = ""yosys -s /src/synth.tcl -l /code/rundir/synth.log"" return subprocess.run(cmd, she…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_8x3_priority_encoder_0001,cvdp_copilot_8x3_priority_encoder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
